degree,specialization,skills,certifications,cgpa,graduation_year,internship_experience,job_role
B.Sc,Biotechnology,"Problem Solving, Communication",None,9.4,2024,1,Lab Manager
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.01,2027,0,Green Building Analyst
LLB,Constitutional Law,"Problem Solving, Communication",None,9.9,2026,1,Legal Researcher
BA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Communication",None,5.16,2027,0,Psychologist
MA,Economics,"Problem Solving, Communication",None,7.32,2026,1,Policy Analyst
M.Com,Finance,"Excel, Portfolio Management, Equity Research",CFA,8.21,2025,0,Investment Analyst
B.Tech,Computer Science,"C++, Java, SQL, Data Structures, Algorithms",Cisco CCNA,7.84,2026,1,Software Engineer
BBA,Marketing,"Social Media, SEO, Google Ads",HubSpot Content Marketing,6.75,2024,1,Digital Marketer
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL, Communication",None,7.25,2024,1,Software Developer
MBBS,Pediatrics,"Problem Solving, Communication",None,6.91,2025,0,Medical Officer
B.Arch,Architecture,"Revit, AutoCAD, SketchUp",None,6.79,2025,1,Architect
PhD,Physics,"Tableau, Excel, Power BI",None,8.52,2026,1,Data Analyst
MBBS,Surgery,"Medical Ethics, Anatomy, Surgery, Patient Care",None,7.93,2024,1,Surgeon
M.Tech,Data Science,"Excel, Tableau, Python, SQL, Power BI",Azure Data Scientist,6.67,2023,1,Data Analyst
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.58,2027,0,Green Building Analyst
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.87,2024,1,Urban Planner
LLB,Corporate Law,"Problem Solving, Communication",None,8.48,2026,1,Legal Advisor
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,8.26,2025,0,Surgeon
MCA,Computer Applications,"Java, .NET, Object Oriented Programming",None,6.51,2025,0,Software Developer
M.Sc,Data Science,"Pandas, Python, Machine Learning, Data Visualization, R",Google Data Analytics,6.83,2027,0,Data Scientist
B.Tech,Data Science,"Tableau, Statistics, Python, Power BI",None,8.4,2024,1,Data Analyst
LLM,Corporate Law,"Drafting, Contract Law, Mergers, Corporate Law",None,8.23,2026,0,Corporate Lawyer
BA,Economics,"Problem Solving, Communication",None,7.47,2026,1,Economic Researcher
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology",None,7.64,2026,1,Pharmacist
LLM,International Law,"Problem Solving, Communication",None,9.03,2024,0,International Lawyer
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.79,2026,0,Pharmaceutical Chemist
PhD,Physics,"Excel, Tableau, SQL, Statistics, Power BI",None,8.16,2026,1,Data Analyst
B.Sc,Chemistry,"Organic Chemistry, Lab Safety, Spectroscopy",None,7.26,2024,0,Chemist
BA,English,"Editing, Blogging, Creative Writing, Research, Communication",None,7.24,2027,0,Content Writer
MBBS,Pediatrics,"Problem Solving, Communication",None,8.82,2024,1,Pediatrician
MBA,Marketing,"Google Ads, Content Creation, Email Marketing, Social Media, SEO",None,8.49,2026,0,Digital Marketer
B.Sc,Chemistry,"Spectroscopy, Chromatography, Lab Safety, Organic Chemistry",None,8.48,2026,1,Chemist
PhD,Mathematics,"Statistics, Python, Power BI",None,9.07,2025,0,Data Analyst
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,7.53,2026,1,General Practitioner
BBA,Finance,"Valuation, Accounting, SAP, Excel",CFA,8.32,2026,1,Financial Analyst
BCA,Computer Applications,"React, CSS, JavaScript, WordPress, HTML",None,7.13,2027,1,Web Developer
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,7.89,2024,0,Pharmaceutical Chemist
B.Tech,Mechanical Engineering,"Ansys, SolidWorks, Manufacturing",None,7.34,2024,1,Mechanical Engineer
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures, Litigation",None,7.62,2026,0,Criminal Lawyer
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.21,2024,1,Urban Planner
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.52,2025,1,Pharmaceutical Chemist
B.Sc,Biotechnology,"Problem Solving, Communication",None,9.9,2026,1,Biotech Consultant
BBA,Marketing,"Google Analytics, CRM, SEO",None,6.29,2023,0,Marketing Manager
MBA,Business Analytics,"Excel, Business Intelligence, Tableau, Visio, SQL",Power BI Data Analyst,6.04,2024,1,Business Analyst
B.Sc,Mathematics,"Excel, Tableau, Python, Statistics, Power BI",None,8.89,2026,1,Data Analyst
MCA,Computer Applications,"SQL, Java, .NET, Communication",None,8.45,2025,1,Software Developer
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures, Litigation",None,8.25,2023,1,Criminal Lawyer
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,8.25,2025,0,Pharmaceutical Chemist
MBA,Operations,"Inventory Management, Logistics, Supply Chain",None,7.49,2026,1,Operations Manager
M.Tech,AI,"Scikit-learn, Pandas, Machine Learning, Python, Statistics",AWS Machine Learning,6.42,2024,1,Machine Learning Engineer
LLM,Corporate Law,"Problem Solving, Communication",None,7.59,2024,0,Legal Advisor
M.Tech,Data Science,"Big Data, Python, Machine Learning, Data Visualization, R",None,6.69,2026,0,Data Scientist
B.Sc,Data Science,"Problem Solving, Communication",Google Data Analytics,8.67,2023,0,Data Engineer
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.32,2025,0,City Planner
MA,Sociology,"Problem Solving, Communication",None,6.51,2026,0,HR Specialist
M.Sc,Physics,"SQL, Tableau, Statistics, Excel",None,7.11,2025,0,Data Analyst
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL, Communication",None,8.0,2026,1,Software Developer
LLB,Corporate Law,"Contract Law, Compliance, Corporate Law",None,6.82,2025,1,Corporate Lawyer
M.Tech,Data Science,"Tableau, Statistics, Python, Power BI",None,6.51,2024,0,Data Analyst
BBA,Business Analytics,"Excel, Business Intelligence, Tableau, Visio, SQL",CBAP,7.79,2026,1,Business Analyst
MBA,Business Analytics,"Business Intelligence, Excel, Visio",Power BI Data Analyst,7.79,2024,1,Business Analyst
B.Pharm,Pharmacy,"Pharmacology, Patient Counseling, Drug Safety, Dispensing, Communication",None,6.89,2025,1,Pharmacist
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.93,2026,1,Quality Control Manager
MA,English,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,7.78,2024,1,Teacher
M.Arch,Sustainable Design,"Problem Solving, Communication",None,5.76,2024,1,Green Building Analyst
B.Sc,Chemistry,"Organic Chemistry, Chromatography, Lab Safety",None,5.81,2025,0,Chemist
LLB,Constitutional Law,"Problem Solving, Communication",None,6.64,2023,1,Legal Researcher
M.Tech,Data Science,"Pandas, R, Big Data",None,7.24,2024,0,Data Scientist
M.Tech,Computer Science,"Go, Django, Java",Google Cloud,7.87,2025,0,Backend Developer
B.Com,Banking,"Financial Analysis, Excel, Portfolio Management, Equity Research, Communication",None,9.27,2026,0,Investment Analyst
LLM,Intellectual Property Law,"Problem Solving, Communication",None,8.53,2024,1,Patent Analyst
BCA,Computer Applications,"Problem Solving, Communication",None,7.31,2024,1,System Admin
MBA,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",None,7.48,2026,1,Financial Analyst
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.3,2026,1,Pharmaceutical Chemist
MBBS,Pediatrics,"Problem Solving, Communication",None,7.48,2024,0,Pediatrician
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.15,2027,0,Green Building Analyst
BBA,Business Analytics,"Business Intelligence, SQL, Tableau, Excel",CBAP,7.89,2026,1,Business Analyst
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.51,2024,0,Sustainable Design Consultant
MBBS,Pediatrics,"Problem Solving, Communication",None,8.12,2024,1,Pediatrician
LLB,Constitutional Law,"Problem Solving, Communication",None,9.34,2023,1,Legal Researcher
MBA,Business Analytics,"Business Intelligence, Tableau, Excel",Power BI Data Analyst,7.37,2023,0,Business Analyst
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,7.98,2024,0,General Practitioner
BCA,Computer Applications,"React, CSS, WordPress, HTML, Communication",None,8.33,2026,0,Web Developer
MBBS,Surgery,"Problem Solving, Communication",None,7.02,2026,1,Medical Researcher
M.Tech,AI,"Deep Learning, Neural Networks, Python, TensorFlow",None,7.77,2025,1,AI Engineer
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.52,2025,1,Urban Planner
MBBS,Surgery,"Medical Ethics, Surgery, Patient Care",None,7.62,2025,0,Surgeon
BA,Psychology,"Counseling, Psychotherapy, Behavioral Analysis",None,6.57,2025,0,Psychologist
B.Com,Banking,"Problem Solving, Communication",None,7.53,2025,0,Banking Officer
LLB,Criminal Law,"Problem Solving, Communication",None,8.1,2025,1,Public Defender
M.Sc,Chemistry,"Organic Chemistry, Lab Safety, Chromatography, Spectroscopy",None,9.24,2026,0,Chemist
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.65,2025,0,City Planner
B.Arch,Architecture,"3D Modeling, AutoCAD, Building Codes",None,9.9,2025,1,Architect
BBA,Marketing,"Social Media, SEO, Email Marketing",Google Ads,6.58,2026,0,Digital Marketer
BA,Economics,"Problem Solving, Communication",None,8.55,2026,1,Policy Analyst
BA,English,"Editing, Blogging, Creative Writing, Communication, SEO",None,7.72,2026,1,Content Writer
MBA,Business Analytics,"Business Intelligence, Excel, Visio",None,9.9,2023,1,Business Analyst
BBA,Human Resources,"Payroll, HRIS, Conflict Resolution, Recruitment",SHRM-CP,6.53,2024,0,HR Manager
MBA,Human Resources,"HRIS, Payroll, Recruitment",None,6.49,2026,0,HR Manager
B.Arch,Interior Design,"Material Selection, Space Planning, Communication, SketchUp",None,6.78,2024,0,Interior Designer
M.Tech,Data Science,"Pandas, Machine Learning, Data Visualization, R",None,5.0,2026,0,Data Scientist
B.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,6.87,2026,1,Accountant
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.59,2025,1,Sustainable Design Consultant
B.Tech,AI,"Neural Networks, Python, Deep Learning, TensorFlow, PyTorch",None,7.68,2023,0,AI Engineer
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.91,2026,1,Urban Planner
BA,Economics,"Problem Solving, Communication",None,9.75,2025,1,Economic Researcher
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology, Drug Safety",None,8.64,2024,1,Pharmacist
B.Tech,Electrical Engineering,"PLC, Circuit Design, Power Systems, MATLAB, SCADA",None,6.81,2025,0,Electrical Engineer
MBA,Business Analytics,"Visio, Tableau, Excel, Business Intelligence",CBAP,6.42,2025,1,Business Analyst
MBBS,Surgery,"Medical Ethics, Anatomy, Surgery, Patient Care",None,8.09,2026,1,Surgeon
M.Sc,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,5.92,2026,0,Research Scientist
B.Arch,Interior Design,"Space Planning, Color Theory, AutoCAD, SketchUp",None,9.7,2025,1,Interior Designer
B.Com,Banking,"Financial Analysis, Excel, Portfolio Management",None,8.92,2026,0,Investment Analyst
B.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,6.94,2027,1,Accountant
MBA,Operations,"Inventory Management, Six Sigma, Logistics, Supply Chain",None,5.44,2023,1,Operations Manager
MBBS,Pediatrics,"Problem Solving, Communication",None,9.12,2023,1,Pediatrician
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.36,2027,0,Urban Planner
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,8.99,2025,1,Pharmaceutical Chemist
B.Pharm,Pharmacy,"Drug Safety, Patient Counseling, Dispensing, Pharmacology",None,5.59,2025,0,Pharmacist
MBA,Human Resources,"HRIS, Payroll, Conflict Resolution, Recruitment",PHR,6.78,2024,0,HR Manager
PhD,Biotechnology,"Problem Solving, Communication",None,7.51,2024,0,Lab Manager
B.Sc,Physics,"Research, Lab Techniques, Technical Writing",None,7.56,2023,1,Research Scientist
M.Com,Accounting,"Problem Solving, Communication",None,6.96,2025,1,Auditor
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology, Drug Safety",None,8.25,2024,0,Pharmacist
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.22,2025,0,Sustainable Design Consultant
M.Sc,Chemistry,"Organic Chemistry, Spectroscopy, Lab Safety, Chromatography, Communication",None,7.33,2025,0,Chemist
BA,English,"Editing, Blogging, SEO",None,7.64,2026,0,Content Writer
MBBS,Surgery,"Problem Solving, Communication",None,8.12,2025,1,Medical Researcher
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.35,2023,0,Sustainable Design Consultant
B.Arch,Architecture,"Revit, Building Codes, SketchUp, 3D Modeling",None,6.15,2025,0,Architect
PhD,Physics,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,5.66,2024,0,Teacher
B.Sc,Mathematics,"Excel, Python, Statistics, Communication, Power BI",None,9.03,2025,1,Data Analyst
MBA,Business Analytics,"Business Intelligence, Tableau, Excel, Visio",Tableau Desktop Specialist,7.9,2024,1,Business Analyst
MBA,Finance,"Financial Modeling, Valuation, Excel, SAP",Financial Modeling,6.6,2025,0,Financial Analyst
MCA,Computer Applications,"WordPress, React, JavaScript",None,9.36,2025,1,Web Developer
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.64,2026,0,Urban Planner
MBBS,Surgery,"Medical Ethics, Anatomy, Surgery, Patient Care",None,8.92,2025,1,Surgeon
MBBS,General Medicine,"Problem Solving, Communication",None,7.58,2023,1,Medical Consultant
B.Sc,Biotechnology,"Problem Solving, Communication",None,9.9,2023,1,Research Associate
B.Com,Banking,"Problem Solving, Communication",None,9.61,2025,1,Banking Officer
MA,English,"Research, Editing, SEO",None,7.2,2026,0,Content Writer
B.Com,Banking,"Financial Analysis, Excel, Portfolio Management, Equity Research, Communication",None,8.67,2025,1,Investment Analyst
B.Arch,Architecture,"AutoCAD, SketchUp, Building Codes",None,8.27,2024,1,Architect
B.Tech,AI,"Neural Networks, Deep Learning, TensorFlow",None,9.14,2025,1,AI Engineer
M.Tech,Computer Science,"C++, Data Structures, Java, Communication",Google Cloud,6.34,2026,1,Software Engineer
MA,Economics,"Problem Solving, Communication",None,8.32,2026,1,Policy Analyst
LLM,International Law,"Problem Solving, Communication",None,8.77,2027,1,Diplomat
M.Tech,AI,"Neural Networks, Deep Learning, TensorFlow, Python, PyTorch",AWS Machine Learning,5.39,2025,1,AI Engineer
MBA,Business Analytics,"Visio, SQL, Tableau",CBAP,6.08,2024,0,Business Analyst
BBA,Marketing,"Google Ads, Content Creation, Email Marketing, Social Media, SEO",Facebook Blueprint,5.05,2026,1,Digital Marketer
BBA,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks",CPA,7.18,2024,1,Accountant
LLM,International Law,"Problem Solving, Communication",None,8.36,2025,1,International Lawyer
MBBS,General Medicine,"Health Promotion, Patient Care, Medicine",None,9.3,2026,1,General Practitioner
M.Sc,Physics,"Tableau, SQL, Statistics, Communication, Power BI",None,7.59,2026,1,Data Analyst
B.Arch,Architecture,"3D Modeling, Building Codes, AutoCAD, SketchUp",None,9.45,2026,1,Architect
M.Tech,Data Science,"Machine Learning, Python, Big Data",Azure Data Scientist,5.84,2025,1,Data Scientist
BBA,Business Analytics,"Business Intelligence, SQL, Excel",CBAP,5.46,2026,0,Business Analyst
BA,Economics,"Problem Solving, Communication",None,7.43,2024,1,Economic Researcher
MCA,Computer Applications,"Java, .NET, Object Oriented Programming",None,7.96,2026,1,Software Developer
MCA,Computer Applications,"React, JavaScript, WordPress, HTML, PHP",None,7.46,2026,1,Web Developer
LLM,Corporate Law,"Problem Solving, Communication",None,5.02,2026,0,Legal Advisor
BBA,Marketing,"Content Strategy, Google Analytics, Digital Marketing, CRM, Communication, SEO",HubSpot Content Marketing,7.39,2025,1,Marketing Manager
B.Com,Accounting,"Excel, Taxation, Tally",None,5.93,2026,0,Accountant
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.3,2025,1,Urban Planner
B.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks, Communication",None,7.94,2026,1,Accountant
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,6.37,2027,1,Software Developer
BBA,Business Analytics,"Excel, Tableau, Visio, Business Intelligence, SQL",CBAP,6.88,2026,1,Business Analyst
MA,English,"Problem Solving, Communication",None,6.23,2024,1,Editor
B.Arch,Architecture,"3D Modeling, Revit, AutoCAD, SketchUp",None,7.42,2024,0,Architect
B.Arch,Interior Design,"Color Theory, Material Selection, Space Planning, Communication",None,8.65,2025,0,Interior Designer
BCA,Computer Applications,"WordPress, React, CSS, JavaScript",None,6.32,2026,1,Web Developer
BA,History,"Problem Solving, Communication",None,8.1,2024,1,Researcher
BCA,Computer Applications,"Communication, CSS, PHP, JavaScript",None,6.86,2024,1,Web Developer
B.Tech,Data Science,"Big Data, Pandas, Machine Learning, Data Visualization, R",None,6.55,2026,0,Data Scientist
MA,Economics,"Problem Solving, Communication",None,7.37,2023,0,Policy Analyst
B.Tech,Computer Science,"C++, Data Structures, Java, SQL",None,6.26,2024,1,Software Engineer
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,6.84,2023,0,Software Developer
B.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",FRM,6.06,2026,0,Financial Analyst
MA,Economics,"Problem Solving, Communication",None,9.86,2024,1,Economic Researcher
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.54,2025,1,Urban Planner
PhD,Physics,"Excel, Tableau, Python, SQL, Power BI",None,6.66,2026,0,Data Analyst
B.Pharm,Pharmacy,"Patient Counseling, Drug Safety, Dispensing, Pharmacology",None,7.76,2026,1,Pharmacist
LLB,Criminal Law,"Criminal Law, Litigation, Evidence, Court Procedures, Communication",None,7.37,2027,0,Criminal Lawyer
